Code,Party,Income level,GDP USD Mar 2025,Human Development Index 2022,Region Name,Sub-region Name,Least Developed Countries (LDC),Small Island Developing States (SIDS),OECD,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename,filename
NZL,New Zealand,High income,252175506110,0.939,Oceania,Australia and New Zealand,0,0,1,New Zealand’s second Nationally Determined Contribution,NDC,English,,Active,2025-01-31,https://unfccc.int/sites/default/files/2025-01/New%20Zealand%27s%20second%20Nationally%20Determined%20Contribution.pdf,New Zealand's second Nationally Determined Contribution.pdf,New_Zealand.txt
NIC,Nicaragua,Lower middle income,17829218219,0.669,Americas,Latin America and the Caribbean,0,0,0,Nicaragua First NDC (Updated submission),NDC,Spanish,2,Active,2020-12-24,https://unfccc.int/sites/default/files/NDC/2022-06/Contribuciones_Nacionales_Determinadas_Nicaragua.pdf,Contribuciones_Nacionales_Determinadas_Nicaragua.pdf,Nicaragua.txt
NER,Niger,Low income,16819170421,0.394,Africa,Sub-Saharan Africa,1,0,0,Niger First NDC (Updated submission),NDC,French,2,Active,2021-12-13,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_Niger_R%C3%A9vis%C3%A9e_2021.pdf,CDN_Niger_Révisée_2021.pdf,Niger.txt
NGA,Nigeria,Lower middle income,363846332835,0.548,Africa,Sub-Saharan Africa,0,0,0,Nigeria First NDC (Updated submission),NDC,English,3,Active,2021-07-30,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_File%20Amended%20_11222.pdf,NDC_File Amended _11222.pdf,Nigeria.txt
NIU,Niue,#N/A,#N/A,#N/A,Oceania,Polynesia,0,1,0,Niue First NDC,NDC,English,1,Active,2016-10-28,https://unfccc.int/sites/default/files/NDC/2022-06/Niue%20INDC%20Final.pdf,Niue INDC Final.pdf,Niue.txt
MKD,North Macedonia,Upper middle income,15763621848,0.765,Europe,Southern Europe,0,0,0,The Republic of North Macedonia First NDC (Updated submission),NDC,English,2,Active,2021-04-16,https://unfccc.int/sites/default/files/NDC/2022-06/Macedonian%20enhanced%20NDC%20%28002%29.pdf,Macedonian enhanced NDC (002).pdf,Macedonia.txt
NOR,Norway,High income,485310823604,0.966,Europe,Northern Europe,0,0,1,Norway First NDC (Second updated submission),NDC,English,3,Active,2022-11-03,https://unfccc.int/sites/default/files/NDC/2022-11/NDC%20Norway_second%20update.pdf,NDC Norway_second update.pdf,Norway.txt
OMN,Oman,High income,108810923277,0.819,Asia,Western Asia,0,0,0,Oman 1st Update of the 2nd NDC,NDC,English,3,Active,2023-11-29,https://unfccc.int/sites/default/files/NDC/2023-11/Oman%201st%20Update%20of%20the%202nd%20NDC%20-%20Optimized%20Size%20%281%29.pdf,Oman 1st Update of the 2nd NDC - Optimized Size (1).pdf,Oman.txt
PAK,Pakistan,Lower middle income,337912301398,0.540,Asia,Southern Asia,0,0,0,Pakistan First NDC (Updated submission),NDC,English,3,Active,2021-10-21,https://unfccc.int/sites/default/files/NDC/2022-06/Pakistan%20Updated%20NDC%202021.pdf,Pakistan Updated NDC 2021.pdf,Pakistan.txt
PLW,Palau,High income,281849062.5,0.797,Oceania,Micronesia,0,1,0,Palau First NDC,NDC,English,1,Active,2016-04-22,https://unfccc.int/sites/default/files/NDC/2022-06/Palau_INDC.Final%20Copy.pdf,Palau_INDC.Final Copy.pdf,Palau.txt
